"ABAS";"interne Kommentare";"";"";"";"";"Tool";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Art";"";"";"Functional Unit";"";"";"";"";"";"";"";"";"";""
"Description";"";"";"";"";"";"";"";"";"";"(all with Axiotron 300 microscope)";"(all with HSEB microscope)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"TagName";"Name";"unit";"Transport lock / Service";"info";"replacement";"Axiospect 200";"Axiospect 201";"Axiospect 202";"Axiospect 300";"Axiospect 301 ";"Axiospect 302 ";"MIT301";"MIT300";"MMT300";"Legacy/Other";"BALDUR";"ODIN A-30 and 300";"ODIN 201 and 301";"ODIN A-21 MiMa";"WOTAN";"THOR";"optical";"mechanical";"electrical";"microscope, illumination, autofokus";"macro station, DEDO";"edge inspection";"robot,prealigner, loadports";"micro stage, chuck";"power supplies, EMO, computer components";"system frame, transport locks, other hardware";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7601-05490";"Encoder bedienpult Axiotron 300";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"x";"x";"";"";"";"";"";"";"";"";"";""
"9010-94202";"Control panel stage, Axiospect 300";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"x";"";"";"";"";"";"";"";"";""
"9452-60157";"Control panel microscope, Axiospect 300";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"x";"";"";"";"";"";"";"";"";"";""
"9452-60151";"Objektivrevolver Axiotron 300";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";""
"9452-60153";"Netzteil Axiotron 300";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";""
"2132-00420";"R-Achsen-Motor";"MIS310";"";"";"";"";"";"x";"";"x";"x";"x";"";"x";"";"";"";"";"";"";"";"";"x";"x";"";"x";"";"";"";"";"";"";"";"";""
