EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Kunde:Kunde#Kunde (Kunde)#0:1#1#Selektions-Leiste#0#Kunde#2#1#Kunde#0#9
DATA>#Kunde:Kundenkontakt#Kundenkontakt (Kunde)#0:2#1#Selektions-Leiste#0#Kunde#4#2#Kundenkontakt#0#9
DATA>#Kunde:Bewegungsdaten#Bewegungsdaten (Kunde)#0:3#1#Selektions-Leiste#0#Kunde#8#3#Bewegungsdaten#0#9
DATA>#Kunde:Kunden/Lieferantenbeziehungen#Kunden/Lieferantenbeziehungen (Kunde)#0:5#1#Selektions-Leiste#0#Kunde#32#5#Kunden/Lieferantenbeziehungen#1#9
DATA>#Kunde:Interessent#Interessent (Kunde)#0:6#1#Selektions-Leiste#0#Kunde#64#6#Interessent#0#9
DATA>#Kunde:Interessentenkontakt#Interessentenkontakt (Kunde)#0:7#1#Selektions-Leiste#0#Kunde#128#7#Interessentenkontakt#0#9
DATA>#Lieferant:Lieferant#Lieferant (Lieferant)#1:1#1#Selektions-Leiste#1#Lieferant#2#1#Lieferant#0#9
DATA>#Lieferant:Lieferantenkontakt#Lieferantenkontakt (Lieferant)#1:2#1#Selektions-Leiste#1#Lieferant#4#2#Lieferantenkontakt#0#9
DATA>#Lieferant:Bewegungsdaten#Bewegungsdaten (Lieferant)#1:3#1#Selektions-Leiste#1#Lieferant#8#3#Bewegungsdaten#0#9
DATA>#Lieferant:Kunden/Lieferantenbeziehungen#Kunden/Lieferantenbeziehungen (Lieferant)#1:5#1#Selektions-Leiste#1#Lieferant#32#5#Kunden/Lieferantenbeziehungen#1#9
DATA>#Teil:Artikel#Artikel (Teil)#2:1#1#Selektions-Leiste#2#Teil#2#1#Artikel#1#9
